clean_title,type.x,genres.x,average_rating,release_year.x,type.y,release_year.y,genres.y,weekly_hours_viewed
the phantom of the opera at the royal albert hall,Movie,"Drama, Musical, Romance",8.8,2011,NA,NA,NA,NA
interstellar,Movie,"Adventure, Drama, Sci-Fi",8.7,2014,NA,NA,NA,NA
the matrix,Movie,"Action, Sci-Fi",8.7,1999,Movie,1999,"Action & Adventure, Sci-Fi & Fantasy",NA
star wars episode v - the empire strikes back,Movie,"Action, Adventure, Fantasy",8.7,1980,NA,NA,NA,NA
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",9420000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",10340000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",13480000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",16560000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",20280000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",23640000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",28800000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",35310000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",44760000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",17040000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",57720000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",21440000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",20170000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",74990000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",26680000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",25620000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",23220000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",102330000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",33790000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",33050000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",31540000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",188190000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",45220000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",41110000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",36590000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",301280000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",34470000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",30280000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",30260000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",76910000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",32230000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",31190000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",29210000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",102260000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",38900000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",38660000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",35880000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",159240000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",51420000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",50290000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",47600000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",335010000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",75080000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",58270000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",47420000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",286790000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",38050000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",24290000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",22210000
stranger things,TV Show,"Drama, Fantasy, Horror",8.7,2016,TV Show,2019,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",9490000
goodfellas,Movie,"Biography, Crime, Drama",8.7,1990,Movie,1990,"Classic Movies, Dramas",NA
one flew over the cuckoos nest,Movie,Drama,8.7,1975,NA,NA,NA,NA
the boys,TV Show,"Action, Comedy, Crime",8.7,2019,NA,NA,NA,NA
peaky blinders,TV Show,"Crime, Drama",8.7,2013,TV Show,2019,"British TV Shows, Crime TV Shows, International TV Shows",13060000
peaky blinders,TV Show,"Crime, Drama",8.7,2013,TV Show,2019,"British TV Shows, Crime TV Shows, International TV Shows",18440000
peaky blinders,TV Show,"Crime, Drama",8.7,2013,TV Show,2019,"British TV Shows, Crime TV Shows, International TV Shows",30350000
peaky blinders,TV Show,"Crime, Drama",8.7,2013,TV Show,2019,"British TV Shows, Crime TV Shows, International TV Shows",61360000
peaky blinders,TV Show,"Crime, Drama",8.7,2013,TV Show,2019,"British TV Shows, Crime TV Shows, International TV Shows",16420000
peaky blinders,TV Show,"Crime, Drama",8.7,2013,TV Show,2019,"British TV Shows, Crime TV Shows, International TV Shows",45710000
black mirror,TV Show,"Crime, Drama, Mystery",8.7,2011,TV Show,2019,"British TV Shows, International TV Shows, TV Dramas",16700000
black mirror,TV Show,"Crime, Drama, Mystery",8.7,2011,TV Show,2019,"British TV Shows, International TV Shows, TV Dramas",2.80E+07
black mirror,TV Show,"Crime, Drama, Mystery",8.7,2011,TV Show,2019,"British TV Shows, International TV Shows, TV Dramas",60400000
black mirror,TV Show,"Crime, Drama, Mystery",8.7,2011,TV Show,2019,"British TV Shows, International TV Shows, TV Dramas",5900000
black mirror,TV Show,"Crime, Drama, Mystery",8.7,2011,TV Show,2019,"British TV Shows, International TV Shows, TV Dramas",58700000
the last of us,TV Show,"Action, Adventure, Drama",8.7,2023,NA,NA,NA,NA
house,TV Show,"Drama, Mystery",8.7,2004,NA,NA,NA,NA
narcos,TV Show,"Biography, Crime, Drama",8.7,2015,TV Show,2017,"Crime TV Shows, TV Action & Adventure, TV Dramas",NA
dark,TV Show,"Crime, Drama, Mystery",8.7,2017,TV Show,2020,"Crime TV Shows, International TV Shows, TV Dramas",NA
the simpsons,TV Show,"Animation, Comedy",8.7,1989,NA,NA,NA,NA
south park,TV Show,"Animation, Comedy",8.7,1997,NA,NA,NA,NA
arrested development,TV Show,Comedy,8.7,2003,TV Show,2019,TV Comedies,NA
mad men,TV Show,Drama,8.7,2007,TV Show,2014,TV Dramas,NA
severance,TV Show,"Drama, Mystery, Sci-Fi",8.7,2022,NA,NA,NA,NA
downton abbey,TV Show,"Drama, Romance",8.7,2010,TV Show,2015,"British TV Shows, International TV Shows, TV Dramas",NA
invincible,TV Show,"Action, Adventure, Animation",8.7,2021,NA,NA,NA,NA
twin peaks,TV Show,"Crime, Drama, Mystery",8.7,1990,TV Show,1990,"Classic & Cult TV, Crime TV Shows, TV Dramas",NA
jai bhim,Movie,"Crime, Drama",8.7,2021,NA,NA,NA,NA
fleabag,TV Show,"Comedy, Drama",8.7,2016,NA,NA,NA,NA
one punch man,TV Show,"Action, Animation, Comedy",8.7,2015,NA,NA,NA,NA
rome,TV Show,"Action, Drama, Romance",8.7,2005,NA,NA,NA,NA
naruto shippuden,TV Show,"Action, Adventure, Animation",8.7,2007,NA,NA,NA,NA
battlestar galactica,TV Show,"Action, Adventure, Drama",8.7,2004,NA,NA,NA,NA
this is us,TV Show,"Comedy, Drama, Romance",8.7,2016,NA,NA,NA,NA
six feet under,TV Show,"Comedy, Drama",8.7,2001,NA,NA,NA,NA
the marvelous mrs. maisel,TV Show,"Comedy, Drama",8.7,2017,NA,NA,NA,NA
the penguin,TV Show,"Crime, Drama",8.7,2024,NA,NA,NA,NA
star trek the next generation,TV Show,"Action, Adventure, Drama",8.7,1987,TV Show,1993,"TV Action & Adventure, TV Sci-Fi & Fantasy",NA
top gear,TV Show,"Adventure, Sport, Talk-Show",8.7,2002,NA,NA,NA,NA
1883,TV Show,"Drama, Western",8.7,2021,NA,NA,NA,NA
soorarai pottru,Movie,Drama,8.7,2020,NA,NA,NA,NA
oz,TV Show,"Crime, Drama, Thriller",8.7,1997,NA,NA,NA,NA
the family man,TV Show,"Action, Comedy, Drama",8.7,2019,NA,NA,NA,NA
the shield,TV Show,"Crime, Drama, Thriller",8.7,2002,NA,NA,NA,NA
the grand tour,TV Show,"Comedy, Sport, Talk-Show",8.7,2016,NA,NA,NA,NA
code geass,TV Show,"Action, Animation, Drama",8.7,2006,NA,NA,NA,NA
blue eye samurai,TV Show,"Action, Adventure, Animation",8.7,2023,NA,NA,NA,12300000
blue eye samurai,TV Show,"Action, Adventure, Animation",8.7,2023,NA,NA,NA,18100000
