titles,type,genres,average_rating,release_year,weekly_hours_viewed
midnight mass,TV Show,"Drama, Fantasy, Horror",7.7,2021,20940000
spy x family,TV Show,"Action, Animation, Comedy",8.3,2022,1200000
dasvi,Movie,"Comedy, Drama",7.4,2022,1620000
jana gana mana,Movie,Drama,8.3,2022,2230000
prey,Movie,"Action, Adventure, Horror",7.1,2022,2330000
gangubai kathiawadi,Movie,"Biography, Crime, Drama",7.8,2022,2840000
20th century girl,Movie,"Drama, Romance",7.4,2022,3060000
gods crooked lines,Movie,"Drama, Mystery, Thriller",7.1,2022,3450000
a man called otto,Movie,"Comedy, Drama",7.5,2022,5350000
to leslie,Movie,Drama,7.1,2022,5370000
extraordinary attorney woo,TV Show,Drama,8.6,2022,5500000
alchemy of souls,TV Show,"Action, Drama, Fantasy",8.7,2022,5800000
"monica, o my darling",Movie,"Comedy, Crime, Drama",7.4,2022,5840000
rescued by ruby,Movie,"Biography, Drama, Family",7.2,2022,6380000
bullet train,Movie,"Action, Comedy, Thriller",7.3,2022,6940000
puss in boots the last wish,Movie,"Action, Adventure, Animation",7.8,2022,7200000
girl in the picture,Movie,"Crime, Documentary, Mystery",7.3,2022,7360000
the glory,TV Show,"Drama, Mystery, Thriller",8.1,2022,7680000
cyberpunk edgerunners,TV Show,"Action, Adventure, Animation",8.3,2022,8020000
all of us are dead,TV Show,"Action, Drama, Fantasy",7.5,2022,8130000
business proposal,TV Show,"Comedy, Drama, Romance",8.1,2022,8270000
heartstopper,TV Show,"Drama, Romance",8.5,2022,8300000
conversations with a killer the john wayne gacy tapes,TV Show,"Biography, Crime, Documentary",7.1,2022,8860000
heartbreak high,TV Show,"Drama, Romance",7.7,2022,9480000
wednesday,TV Show,"Comedy, Crime, Fantasy",8.1,2022,9500000
the tinder swindler,Movie,"Crime, Documentary",7.1,2022,9510000
twenty five twenty one,TV Show,"Drama, Romance",8.6,2022,9580000
where the crawdads sing,Movie,"Drama, Mystery, Romance",7.2,2022,9640000
downfall the case against boeing,Movie,Documentary,7.4,2022,9910000
the empress,TV Show,"Drama, History, Romance",7.8,2022,9990000
the redeem team,Movie,"Documentary, History, Sport",7.4,2022,10290000
clark,TV Show,"Action, Comedy, Crime",7.3,2022,10480000
the playlist,TV Show,"Biography, Drama, Music",7.4,2022,10920000
tomorrow,TV Show,"Action, Comedy, Drama",8.0,2022,11120000
khakee the bihar chapter,TV Show,"Crime, Drama",8.1,2022,11270000
the swimmers,Movie,"Biography, Drama, Sport",7.4,2022,11720000
the cuphead show!,TV Show,"Action, Adventure, Animation",7.4,2022,11810000
jeen-yuhs a kanye trilogy,TV Show,"Documentary, Music",8.0,2022,12200000
the sandman,TV Show,"Drama, Fantasy, Horror",7.7,2022,12220000
kleo,TV Show,"Action, Crime, Drama",7.5,2022,12760000
the recruit,TV Show,"Action, Adventure, Crime",7.4,2022,13430000
vikings valhalla,TV Show,"Action, Adventure, Drama",7.4,2022,14840000
the lincoln lawyer,TV Show,"Crime, Drama, Mystery",7.8,2022,15300000
human resources,TV Show,"Animation, Comedy, Romance",7.1,2022,16230000
1899,TV Show,"Drama, Horror, Mystery",7.3,2022,17850000
from scratch,TV Show,"Drama, Romance",7.9,2022,19880000
ancient apocalypse,TV Show,"Documentary, History",7.3,2022,24620000
worst roommate ever,TV Show,"Crime, Documentary, Thriller",7.1,2022,26290000
keep sweet pray and obey,TV Show,"Crime, Documentary",7.3,2022,27640000
conversations with a killer the jeffrey dahmer tapes,TV Show,"Biography, Crime, Documentary",7.3,2022,27710000
archive 81,TV Show,"Drama, Horror, Mystery",7.3,2022,36270000
chor nikal ke bhaga,Movie,"Crime, Drama, Thriller",7.2,2023,1790000
forgotten love,Movie,"Drama, Romance",7.5,2023,2300000
vaathi,Movie,"Action, Drama",7.3,2023,2430000
omg 2,Movie,"Comedy, Drama",7.5,2023,3500000
nimona,Movie,"Action, Adventure, Animation",7.5,2023,5900000
the deepest breath,Movie,"Adventure, Documentary, Sport",7.7,2023,6500000
castlevania nocturne,TV Show,"Action, Adventure, Animation",7.4,2023,6800000
scott pilgrim takes off,TV Show,"Action, Adventure, Animation",7.7,2023,7400000
all the light we cannot see,TV Show,"Drama, History, War",7.5,2023,7600000
arnold,TV Show,"Biography, Documentary",8.0,2023,7800000
take care of maya,Movie,Documentary,7.8,2023,7900000
dear child,TV Show,"Crime, Drama, Mystery",7.3,2023,8400000
school spirits,TV Show,"Drama, Fantasy, Mystery",7.6,2023,8900000
painkiller,TV Show,"Crime, Drama",7.4,2023,10100000
spider-man across the spider-verse,Movie,"Action, Adventure, Animation",8.6,2023,10200000
kaala paani,TV Show,"Drama, Thriller",8.0,2023,11100000
nyad,Movie,"Biography, Drama, Sport",7.1,2023,11700000
blue eye samurai,TV Show,"Action, Adventure, Animation",8.7,2023,12300000
the night agent,TV Show,"Action, Drama, Thriller",7.5,2023,12650000
bloodhounds,TV Show,"Action, Crime, Drama",8.1,2023,12800000
guns & gulaabs,TV Show,"Comedy, Crime, Romance",7.7,2023,13300000
physical 100,TV Show,"Game-Show, Reality-TV",7.7,2023,14370000
beef,TV Show,"Comedy, Drama",8.0,2023,14790000
lockwood & co.,TV Show,"Action, Adventure, Drama",7.4,2023,15370000
queen charlotte a bridgerton story,TV Show,"Drama, History, Romance",7.6,2023,16710000
leo,Movie,"Action, Crime, Drama",7.2,2023,16800000
the diplomat,TV Show,"Drama, Thriller",8.0,2023,18370000
bodies,TV Show,"Crime, Drama, Sci-Fi",7.3,2023,19600000
the fall of the house of usher,TV Show,"Drama, Horror, Mystery",7.9,2023,23400000
my demon,TV Show,"Comedy, Drama, Fantasy",7.7,2023,33600000
ted,TV Show,Comedy,7.9,2024,5750000
the gentlemen,TV Show,"Action, Comedy, Crime",8.0,2024,8610000
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
